"f_72-1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1064.6,1,8.02,0.5,8.02,0
1059.4,1,8.03,0.5,8.03,0
1054.2,1,8.04,0.5,8.04,0
1048.9,1,8.05,0.5,8.05,0
1043.7,1,8.06,0.5,8.06,0
1038.5,1,8.07,0.5,8.07,0
1033.3,1,8.08,0.5,8.08,0
1028,1,8.09,0.5,8.09,0
1022.8,1,8.1,0.5,8.1,0
1017.6,1,8.11,0.5,8.11,0
1012.3,1,8.12,0.5,8.12,0
1007.1,1,8.13,0.5,8.13,0
1001.9,1,8.14,0.5,8.14,0
996.66,1,8.15,0.5,8.15,0
991.43,1,8.16,0.5,8.16,0
986.2,1,8.17,0.5,8.17,0
980.97,1,8.18,0.5,8.18,0
975.74,1,8.19,0.5,8.19,0
970.51,1,8.2,0.5,8.2,0
965.28,1,8.21,0.5,8.21,0
960.05,1,8.22,0.5,8.22,0
954.82,1,8.23,0.5,8.23,0
949.59,1,8.24,0.5,8.24,0
944.36,1,8.25,0.5,8.25,0
939.08,1,8.26,0.5,8.26,0
933.79,1,8.27,0.5,8.27,0
928.5,1,8.28,0.5,8.28,0
923.21,1,8.29,0.5,8.29,0
917.93,1,8.3,0.5,8.3,0
912.64,1,8.31,0.5,8.31,0
907.35,1,8.32,0.5,8.32,0
902.07,1,8.33,0.5,8.33,0
896.78,1,8.34,0.5,8.34,0
891.49,1,8.35,0.5,8.35,0
886.2,1,8.36,0.5,8.36,0
880.92,1,8.37,0.5,8.37,0
875.63,1,8.38,0.5,8.38,0
870.34,1,8.39,0.5,8.39,0
865.05,1,8.4,0.5,8.4,0
859.77,1,8.41,0.5,8.41,0
854.48,1,8.42,0.5,8.42,0
849.19,1,8.43,0.5,8.43,0
843.9,1,8.44,0.5,8.44,0
838.62,1,8.45,0.5,8.45,0
833.33,1,8.46,0.5,8.46,0
828.04,1,8.47,0.5,8.47,0
822.75,1,8.48,0.5,8.48,0
817.47,1,8.49,0.5,8.49,0
812.18,1,8.5,0.5,8.5,0
806.84,1,8.51,0.5,8.51,0
801.5,1,8.52,0.5,8.52,0
796.16,1,8.53,0.5,8.53,0
790.83,1,8.54,0.5,8.54,0
785.49,1,8.55,0.5,8.55,0
780.15,1,8.56,0.5,8.56,0
774.81,1,8.57,0.5,8.57,0
769.48,1,8.58,0.5,8.58,0
764.14,1,8.59,0.5,8.59,0
758.8,1,8.6,0.5,8.6,0
753.46,1,8.61,0.5,8.61,0
748.13,1,8.62,0.5,8.62,0
742.79,1,8.63,0.5,8.63,0
737.45,1,8.64,0.5,8.64,0
732.11,1,8.65,0.5,8.65,0
726.78,1,8.66,0.5,8.66,0
721.44,1,8.67,0.5,8.67,0
716.1,1,8.68,0.5,8.68,0
710.76,1,8.69,0.5,8.69,0
705.43,1,8.7,0.5,8.7,0
700.09,1,8.71,0.5,8.71,0
694.75,1,8.72,0.5,8.72,0
689.41,1,8.73,0.5,8.73,0
684.08,1,8.74,0.5,8.74,0
678.74,1,8.75,0.5,8.75,0
673.36,1,8.76,0.5,8.76,0
667.98,1,8.77,0.5,8.77,0
662.6,1,8.78,0.5,8.78,0
657.22,1,8.79,0.5,8.79,0
651.84,1,8.8,0.5,8.8,0
646.46,1,8.81,0.5,8.81,0
641.08,1,8.82,0.5,8.82,0
635.7,1,8.83,0.5,8.83,0
630.32,1,8.84,0.5,8.84,0
624.94,1,8.85,0.5,8.85,0
619.56,1,8.86,0.5,8.86,0
614.18,1,8.87,0.5,8.87,0
608.8,1,8.88,0.5,8.88,0
603.42,1,8.89,0.5,8.89,0
598.05,1,8.9,0.5,8.9,0
592.67,1,8.91,0.5,8.91,0
587.29,1,8.92,0.5,8.92,0
581.91,1,8.93,0.5,8.93,0
576.53,1,8.94,0.5,8.94,0
571.15,1,8.95,0.5,8.95,0
565.77,1,8.96,0.5,8.96,0
560.39,1,8.97,0.5,8.97,0
555.01,1,8.98,0.5,8.98,0
549.63,1,8.99,0.5,8.99,0
544.25,1,9,0.5,9,0
538.84,1,9.01,0.5,9.01,0
533.42,1,9.02,0.5,9.02,0
528.01,1,9.03,0.5,9.03,0
522.6,1,9.04,0.5,9.04,0
517.19,1,9.05,0.5,9.05,0
511.77,1,9.06,0.5,9.06,0
506.36,1,9.07,0.5,9.07,0
500.95,1,9.08,0.5,9.08,0
495.53,1,9.09,0.5,9.09,0
490.12,1,9.1,0.5,9.1,0
484.71,1,9.11,0.5,9.11,0
479.29,1,9.12,0.5,9.12,0
473.88,1,9.13,0.5,9.13,0
468.47,1,9.14,0.5,9.14,0
463.05,1,9.15,0.5,9.15,0
457.64,1,9.16,0.5,9.16,0
452.23,1,9.17,0.5,9.17,0
446.82,1,9.18,0.5,9.18,0
441.4,1,9.19,0.5,9.19,0
435.99,1,9.2,0.5,9.2,0
430.58,1,9.21,0.5,9.21,0
425.16,1,9.22,0.5,9.22,0
419.75,1,9.23,0.5,9.23,0
414.34,1,9.24,0.5,9.24,0
408.92,1,9.25,0.5,9.25,0
403.49,1,9.26,0.5,9.26,0
398.05,1,9.27,0.5,9.27,0
392.61,1,9.28,0.5,9.28,0
387.17,1,9.29,0.5,9.29,0
381.73,1,9.3,0.5,9.3,0
376.29,1,9.31,0.5,9.31,0
370.86,1,9.32,0.5,9.32,0
365.42,1,9.33,0.5,9.33,0
359.98,1,9.34,0.5,9.34,0
354.54,1,9.35,0.5,9.35,0
349.1,1,9.36,0.5,9.36,0
343.66,1,9.37,0.5,9.37,0
338.23,1,9.38,0.5,9.38,0
332.79,1,9.39,0.5,9.39,0
327.35,1,9.4,0.5,9.4,0
321.91,1,9.41,0.5,9.41,0
316.47,1,9.42,0.5,9.42,0
311.03,1,9.43,0.5,9.43,0
305.6,1,9.44,0.5,9.44,0
300.16,1,9.45,0.5,9.45,0
294.72,1,9.46,0.5,9.46,0
289.28,1,9.47,0.5,9.47,0
283.84,1,9.48,0.5,9.48,0
278.41,1,9.49,0.5,9.49,0
272.97,1,9.5,0.5,9.5,0
267.51,1,9.51,0.5,9.51,0
262.06,1,9.52,0.5,9.52,0
256.6,1,9.53,0.5,9.53,0
251.15,1,9.54,0.5,9.54,0
245.69,1,9.55,0.5,9.55,0
240.24,1,9.56,0.5,9.56,0
234.78,1,9.57,0.5,9.57,0
229.33,1,9.58,0.5,9.58,0
223.87,1,9.59,0.5,9.59,0
218.42,1,9.6,0.5,9.6,0
212.96,1,9.61,0.5,9.61,0
207.51,1,9.62,0.5,9.62,0
202.05,1,9.63,0.5,9.63,0
196.59,1,9.64,0.5,9.64,0
191.14,1,9.65,0.5,9.65,0
185.69,1,9.66,0.5,9.66,0
180.23,1,9.67,0.5,9.67,0
174.77,1,9.68,0.5,9.68,0
169.32,1,9.69,0.5,9.69,0
163.86,1,9.7,0.5,9.7,0
158.41,1,9.71,0.5,9.71,0
152.95,1,9.72,0.5,9.72,0
147.5,1,9.73,0.5,9.73,0
