"u:0","u:1","u:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00032545,-0.048631,0,1,0.967,0.967,0.5,0
-0.00031558,-0.04863,0,1,0.968,0.968,0.5,0
-0.00030572,-0.048628,0,1,0.969,0.969,0.5,0
-0.00029586,-0.048627,0,1,0.97,0.97,0.5,0
-0.000286,-0.048625,0,1,0.971,0.971,0.5,0
-0.00027614,-0.048624,0,1,0.972,0.972,0.5,0
-0.00026627,-0.048622,0,1,0.973,0.973,0.5,0
-0.00025641,-0.048621,0,1,0.974,0.974,0.5,0
-0.00024655,-0.048619,0,1,0.975,0.975,0.5,0
-0.00023669,-0.048618,0,1,0.976,0.976,0.5,0
-0.00022683,-0.048616,0,1,0.977,0.977,0.5,0
-0.00021696,-0.048615,0,1,0.978,0.978,0.5,0
-0.0002071,-0.048613,0,1,0.979,0.979,0.5,0
-0.00019724,-0.048612,0,1,0.98,0.98,0.5,0
-0.00018738,-0.04861,0,1,0.981,0.981,0.5,0
-0.00017752,-0.048609,0,1,0.982,0.982,0.5,0
-0.00016765,-0.048607,0,1,0.983,0.983,0.5,0
-0.00015779,-0.048606,0,1,0.984,0.984,0.5,0
-0.00014793,-0.048604,0,1,0.985,0.985,0.5,0
-0.00013807,-0.048603,0,1,0.986,0.986,0.5,0
-0.00012821,-0.048601,0,1,0.987,0.987,0.5,0
-0.00011834,-0.0486,0,1,0.988,0.988,0.5,0
-0.00010848,-0.048598,0,1,0.989,0.989,0.5,0
-9.862e-05,-0.048597,0,1,0.99,0.99,0.5,0
-8.8758e-05,-0.048595,0,1,0.991,0.991,0.5,0
-7.8896e-05,-0.048594,0,1,0.992,0.992,0.5,0
-6.9034e-05,-0.048592,0,1,0.993,0.993,0.5,0
-5.9172e-05,-0.048591,0,1,0.994,0.994,0.5,0
-4.931e-05,-0.048589,0,1,0.995,0.995,0.5,0
-3.9448e-05,-0.048588,0,1,0.996,0.996,0.5,0
-2.9586e-05,-0.048586,0,1,0.997,0.997,0.5,0
-1.9724e-05,-0.048585,0,1,0.998,0.998,0.5,0
-9.8619e-06,-0.048583,0,1,0.999,0.999,0.5,0
0,-0.048582,0,1,1,1,0.5,0
