phi,kxx,kyy
3.258032619775739e-05,4.7826745774729865e-11,4.7826745774729865e-11
2.9155759429153923e-05,1.8106169308613656e-11,1.8106169308613656e-11
2.860234454638124e-05,1.679691142622834e-11,1.679691142622834e-11
2.6464831804281347e-05,8.048777017279306e-12,8.048777017279306e-12
2.6699184505606526e-05,1.226491134280326e-11,1.226491134280326e-11
2.442579001019368e-05,3.682139403600407e-12,3.682139403600407e-12
2.1539857288481142e-05,3.854192026195719e-12,3.854192026195719e-12
1.67868501529052e-05,1.8645305084831805e-12,1.8645305084831805e-12
1.957125382262997e-05,4.693408823743119e-12,4.693408823743119e-12
1.4700407747196738e-05,1.3411995895973497e-12,1.3411995895973497e-12
1.267737003058104e-05,7.926140982345566e-13,7.926140982345566e-13
1.0215902140672783e-05,6.444206733791029e-13,6.444206733791029e-13
1.2827624872579001e-05,9.546556364687053e-13,9.546556364687053e-13
1.4658002038735984e-05,6.993091018446483e-13,6.993091018446483e-13
1.567512742099898e-05,5.460643600785932e-13,5.460643600785932e-13
1.2791539245667687e-05,2.3112918734821607e-13,2.3112918734821607e-13
1.2848114169215089e-05,2.4933646347808357e-13,2.4933646347808357e-13
1.1735983690112131e-05,2.1383438770468905e-13,2.1383438770468905e-13
1.3333639143730887e-05,2.637137528565749e-13,2.637137528565749e-13
1.6416411824668703e-05,3.480710470750255e-13,3.480710470750255e-13
1.6200509683995923e-05,4.730229815363914e-13,4.730229815363914e-13
1.2785015290519878e-05,2.7103368550774717e-13,2.7103368550774717e-13
1.62868501529052e-05,6.646963636830784e-13,6.646963636830784e-13
1.6241997961264017e-05,4.93957626745056e-13,4.93957626745056e-13
1.5958307849133537e-05,3.5656905025045874e-13,3.5656905025045874e-13
1.9583995922528036e-05,1.1562394991743118e-12,1.1562394991743118e-12
2.2534250764525994e-05,1.2073864722344547e-12,1.2073864722344547e-12
2.3418858307849133e-05,1.5763810980998979e-12,1.5763810980998979e-12
