phi,kxx,kyy
0.364666,7.715341982380999e-07,7.715341982380999e-07
0.437727,3.6648903283849997e-06,3.6648903283849997e-06
0.403813,1.561766645318e-06,1.561766645318e-06
0.411709,1.499018061904e-06,1.499018061904e-06
0.358931,5.589578278812e-07,5.589578278812e-07
0.36396,9.472766171923999e-07,9.472766171923999e-07
0.365851,1.307890495626e-06,1.307890495626e-06
0.320692,5.539462313637999e-07,5.539462313637999e-07
0.308841,6.448428542170999e-07,6.448428542170999e-07
0.272305,2.200306020418e-07,2.200306020418e-07
0.270307,1.209563327247e-07,1.209563327247e-07
0.293507,2.915785935986e-07,2.915785935986e-07
0.281608,1.6557118742449997e-07,1.6557118742449997e-07
0.293167,1.603987224092e-07,1.603987224092e-07
0.236556,3.9478412384949995e-08,3.9478412384949995e-08
0.19683,3.613254501329e-08,3.613254501329e-08
0.165706,2.076772830957e-08,2.076772830957e-08
0.097404,5.68793505489e-09,5.68793505489e-09
0.084852,6.215623204934e-09,6.215623204934e-09
0.115844,8.27880610205e-09,8.27880610205e-09
0.121547,4.837453901115e-09,4.837453901115e-09
0.136589,6.880187747455e-09,6.880187747455e-09
0.142936,4.014576992041e-09,4.014576992041e-09
0.084638,7.787150521689e-10,7.787150521689e-10
0.136884,2.186775301975e-09,2.186775301975e-09
0.125301,9.751285796417e-10,9.751285796417e-10
0.136686,1.880000063403e-09,1.880000063403e-09
0.133732,1.3214606910009999e-09,1.3214606910009999e-09
0.11099,1.061554439946e-09,1.061554439946e-09
0.178431,7.636763149234999e-09,7.636763149234999e-09
0.193494,7.588838153787e-09,7.588838153787e-09
0.148693,2.2749766372959998e-09,2.2749766372959998e-09
0.155109,4.8097312256179995e-09,4.8097312256179995e-09
0.201493,9.161184616880999e-09,9.161184616880999e-09
0.175776,3.5447324166099997e-09,3.5447324166099997e-09
0.165783,3.2405922632489996e-09,3.2405922632489996e-09
0.199699,6.688191688673e-09,6.688191688673e-09
0.231226,1.598687445971e-08,1.598687445971e-08
0.210292,1.1613718625079999e-08,1.1613718625079999e-08
0.229519,1.665867315002e-08,1.665867315002e-08
0.261113,3.4138367793309994e-08,3.4138367793309994e-08
0.265055,2.474838474779e-08,2.474838474779e-08
